Area,Month,age_label,index_column
Foothill,8,60-79,47
Foothill,8,>=80,2
Foothill,9,0-19,190
Foothill,9,20-39,197
Foothill,9,40-59,175
Foothill,9,60-79,59
Foothill,9,>=80,5
Foothill,10,0-19,178
Foothill,10,20-39,203
Foothill,10,40-59,144
Foothill,10,60-79,56
Foothill,10,>=80,4
Foothill,11,0-19,175
Foothill,11,20-39,227
Foothill,11,40-59,163
Foothill,11,60-79,59
Foothill,11,>=80,10
Foothill,12,0-19,222
Foothill,12,20-39,237
Foothill,12,40-59,152
Foothill,12,60-79,54
Foothill,12,>=80,5
Harbor,1,0-19,310
Harbor,1,20-39,200
Harbor,1,40-59,194
Harbor,1,60-79,66
Harbor,1,>=80,7
Harbor,2,0-19,225
Harbor,2,20-39,224
Harbor,2,40-59,169
Harbor,2,60-79,57
Harbor,2,>=80,3
Harbor,3,0-19,293
Harbor,3,20-39,208
Harbor,3,40-59,181
Harbor,3,60-79,71
Harbor,3,>=80,4
Harbor,4,0-19,266
Harbor,4,20-39,260
Harbor,4,40-59,188
Harbor,4,60-79,55
Harbor,4,>=80,6
Harbor,5,0-19,258
Harbor,5,20-39,240
Harbor,5,40-59,168
Harbor,5,60-79,62
Harbor,5,>=80,9
Harbor,6,0-19,260
Harbor,6,20-39,238
Harbor,6,40-59,181
Harbor,6,60-79,66
Harbor,6,>=80,3
Harbor,7,0-19,261
Harbor,7,20-39,274
Harbor,7,40-59,198
Harbor,7,60-79,75
Harbor,7,>=80,10
Harbor,8,0-19,284
Harbor,8,20-39,249
Harbor,8,40-59,206
Harbor,8,60-79,66
Harbor,8,>=80,2
Harbor,9,0-19,273
Harbor,9,20-39,248
Harbor,9,40-59,170
Harbor,9,60-79,63
Harbor,9,>=80,7
Harbor,10,0-19,293
Harbor,10,20-39,238
Harbor,10,40-59,196
Harbor,10,60-79,49
Harbor,10,>=80,4
Harbor,11,0-19,246
Harbor,11,20-39,175
Harbor,11,40-59,167
Harbor,11,60-79,62
Harbor,11,>=80,4
Harbor,12,0-19,261
Harbor,12,20-39,262
Harbor,12,40-59,211
Harbor,12,60-79,71
Harbor,12,>=80,9
Hollenbeck,1,0-19,209
Hollenbeck,1,20-39,223
Hollenbeck,1,40-59,143
Hollenbeck,1,60-79,34
Hollenbeck,1,>=80,5
Hollenbeck,2,0-19,202
Hollenbeck,2,20-39,193
Hollenbeck,2,40-59,158
Hollenbeck,2,60-79,52
Hollenbeck,2,>=80,9
Hollenbeck,3,0-19,290
Hollenbeck,3,20-39,241
Hollenbeck,3,40-59,143
Hollenbeck,3,60-79,52
Hollenbeck,3,>=80,8
Hollenbeck,4,0-19,271
Hollenbeck,4,20-39,217
Hollenbeck,4,40-59,147
Hollenbeck,4,60-79,39
Hollenbeck,4,>=80,6
Hollenbeck,5,0-19,289
Hollenbeck,5,20-39,254
Hollenbeck,5,40-59,159
Hollenbeck,5,60-79,52
Hollenbeck,5,>=80,3
Hollenbeck,6,0-19,254
Hollenbeck,6,20-39,263
Hollenbeck,6,40-59,154
Hollenbeck,6,60-79,48
Hollenbeck,6,>=80,6
Hollenbeck,7,0-19,276
Hollenbeck,7,20-39,272
Hollenbeck,7,40-59,151
Hollenbeck,7,60-79,52
Hollenbeck,7,>=80,3
Hollenbeck,8,0-19,263
Hollenbeck,8,20-39,280
Hollenbeck,8,40-59,171
Hollenbeck,8,60-79,48
Hollenbeck,8,>=80,9
Hollenbeck,9,0-19,241
Hollenbeck,9,20-39,228
Hollenbeck,9,40-59,152
Hollenbeck,9,60-79,43
Hollenbeck,9,>=80,8
Hollenbeck,10,0-19,262
Hollenbeck,10,20-39,246
Hollenbeck,10,40-59,174
Hollenbeck,10,60-79,56
Hollenbeck,10,>=80,1
Hollenbeck,11,0-19,245
Hollenbeck,11,20-39,234
Hollenbeck,11,40-59,140
Hollenbeck,11,60-79,51
Hollenbeck,11,>=80,5
Hollenbeck,12,0-19,248
Hollenbeck,12,20-39,255
Hollenbeck,12,40-59,166
Hollenbeck,12,60-79,55
Hollenbeck,12,>=80,8
Hollywood,1,0-19,264
Hollywood,1,20-39,486
Hollywood,1,40-59,195
Hollywood,1,60-79,57
Hollywood,1,>=80,12
Hollywood,2,0-19,268
Hollywood,2,20-39,490
Hollywood,2,40-59,189
Hollywood,2,60-79,50
Hollywood,2,>=80,10
Hollywood,3,0-19,249
Hollywood,3,20-39,512
Hollywood,3,40-59,227
Hollywood,3,60-79,60
Hollywood,3,>=80,4
Hollywood,4,0-19,272
Hollywood,4,20-39,482
Hollywood,4,40-59,212
Hollywood,4,60-79,55
Hollywood,4,>=80,5
Hollywood,5,0-19,272
Hollywood,5,20-39,490
Hollywood,5,40-59,212
Hollywood,5,60-79,59
Hollywood,5,>=80,2
Hollywood,6,0-19,263
Hollywood,6,20-39,580
Hollywood,6,40-59,244
Hollywood,6,60-79,80
Hollywood,6,>=80,4
Hollywood,7,0-19,259
Hollywood,7,20-39,530
