Area,Month,age_label,index_column
Van Nuys,7,60-79,67
Van Nuys,7,>=80,10
Van Nuys,8,0-19,152
Van Nuys,8,20-39,362
Van Nuys,8,40-59,246
Van Nuys,8,60-79,91
Van Nuys,8,>=80,8
Van Nuys,9,0-19,157
Van Nuys,9,20-39,325
Van Nuys,9,40-59,258
Van Nuys,9,60-79,79
Van Nuys,9,>=80,9
Van Nuys,10,0-19,179
Van Nuys,10,20-39,349
Van Nuys,10,40-59,216
Van Nuys,10,60-79,75
Van Nuys,10,>=80,4
Van Nuys,11,0-19,149
Van Nuys,11,20-39,309
Van Nuys,11,40-59,257
Van Nuys,11,60-79,73
Van Nuys,11,>=80,7
Van Nuys,12,0-19,172
Van Nuys,12,20-39,354
Van Nuys,12,40-59,224
Van Nuys,12,60-79,87
Van Nuys,12,>=80,6
West LA,1,0-19,236
West LA,1,20-39,294
West LA,1,40-59,202
West LA,1,60-79,101
West LA,1,>=80,22
West LA,2,0-19,201
West LA,2,20-39,309
West LA,2,40-59,182
West LA,2,60-79,97
West LA,2,>=80,13
West LA,3,0-19,244
West LA,3,20-39,305
West LA,3,40-59,206
West LA,3,60-79,118
West LA,3,>=80,13
West LA,4,0-19,280
West LA,4,20-39,293
West LA,4,40-59,195
West LA,4,60-79,105
West LA,4,>=80,19
West LA,5,0-19,271
West LA,5,20-39,318
West LA,5,40-59,206
West LA,5,60-79,121
West LA,5,>=80,13
West LA,6,0-19,283
West LA,6,20-39,311
West LA,6,40-59,194
West LA,6,60-79,103
West LA,6,>=80,18
West LA,7,0-19,273
West LA,7,20-39,310
West LA,7,40-59,198
West LA,7,60-79,102
West LA,7,>=80,15
West LA,8,0-19,268
West LA,8,20-39,257
West LA,8,40-59,194
West LA,8,60-79,100
West LA,8,>=80,18
West LA,9,0-19,234
West LA,9,20-39,241
West LA,9,40-59,191
West LA,9,60-79,95
West LA,9,>=80,17
West LA,10,0-19,235
West LA,10,20-39,292
West LA,10,40-59,167
West LA,10,60-79,102
West LA,10,>=80,18
West LA,11,0-19,272
West LA,11,20-39,280
West LA,11,40-59,179
West LA,11,60-79,118
West LA,11,>=80,22
West LA,12,0-19,255
West LA,12,20-39,307
West LA,12,40-59,203
West LA,12,60-79,127
West LA,12,>=80,10
West Valley,1,0-19,255
West Valley,1,20-39,247
West Valley,1,40-59,226
West Valley,1,60-79,80
West Valley,1,>=80,13
West Valley,2,0-19,251
West Valley,2,20-39,245
West Valley,2,40-59,157
West Valley,2,60-79,82
West Valley,2,>=80,14
West Valley,3,0-19,258
West Valley,3,20-39,252
West Valley,3,40-59,208
West Valley,3,60-79,97
West Valley,3,>=80,9
West Valley,4,0-19,254
West Valley,4,20-39,269
West Valley,4,40-59,242
West Valley,4,60-79,104
West Valley,4,>=80,16
West Valley,5,0-19,244
West Valley,5,20-39,257
West Valley,5,40-59,234
West Valley,5,60-79,93
West Valley,5,>=80,15
West Valley,6,0-19,231
West Valley,6,20-39,262
West Valley,6,40-59,228
West Valley,6,60-79,109
West Valley,6,>=80,16
West Valley,7,0-19,233
West Valley,7,20-39,295
West Valley,7,40-59,205
West Valley,7,60-79,90
West Valley,7,>=80,11
West Valley,8,0-19,237
West Valley,8,20-39,302
West Valley,8,40-59,208
West Valley,8,60-79,102
West Valley,8,>=80,14
West Valley,9,0-19,233
West Valley,9,20-39,278
West Valley,9,40-59,206
West Valley,9,60-79,101
West Valley,9,>=80,13
West Valley,10,0-19,276
West Valley,10,20-39,308
West Valley,10,40-59,201
West Valley,10,60-79,95
West Valley,10,>=80,18
West Valley,11,0-19,239
West Valley,11,20-39,300
West Valley,11,40-59,210
West Valley,11,60-79,97
West Valley,11,>=80,16
West Valley,12,0-19,246
West Valley,12,20-39,270
West Valley,12,40-59,252
West Valley,12,60-79,127
West Valley,12,>=80,13
Wilshire,1,0-19,205
Wilshire,1,20-39,360
Wilshire,1,40-59,194
Wilshire,1,60-79,96
Wilshire,1,>=80,8
Wilshire,2,0-19,218
Wilshire,2,20-39,355
Wilshire,2,40-59,182
Wilshire,2,60-79,76
Wilshire,2,>=80,9
Wilshire,3,0-19,249
Wilshire,3,20-39,385
Wilshire,3,40-59,185
Wilshire,3,60-79,90
Wilshire,3,>=80,7
Wilshire,4,0-19,211
Wilshire,4,20-39,405
Wilshire,4,40-59,195
Wilshire,4,60-79,90
Wilshire,4,>=80,10
Wilshire,5,0-19,279
Wilshire,5,20-39,354
Wilshire,5,40-59,195
Wilshire,5,60-79,80
Wilshire,5,>=80,14
Wilshire,6,0-19,213
Wilshire,6,20-39,390
Wilshire,6,40-59,188
Wilshire,6,60-79,69
Wilshire,6,>=80,10
Wilshire,7,0-19,255
Wilshire,7,20-39,339
Wilshire,7,40-59,264
Wilshire,7,60-79,79
Wilshire,7,>=80,13
Wilshire,8,0-19,231
Wilshire,8,20-39,350
Wilshire,8,40-59,218
Wilshire,8,60-79,97
Wilshire,8,>=80,4
Wilshire,9,0-19,307
Wilshire,9,20-39,333
Wilshire,9,40-59,193
Wilshire,9,60-79,55
Wilshire,9,>=80,12
Wilshire,10,0-19,316
Wilshire,10,20-39,384
Wilshire,10,40-59,206
Wilshire,10,60-79,79
Wilshire,10,>=80,17
Wilshire,11,0-19,283
Wilshire,11,20-39,325
Wilshire,11,40-59,235
Wilshire,11,60-79,76
Wilshire,11,>=80,7
Wilshire,12,0-19,372
Wilshire,12,20-39,382
Wilshire,12,40-59,219
Wilshire,12,60-79,64
Wilshire,12,>=80,9
